"Mod name","Registry name","Entity class name","ID"
"Minecraft","minecraft:allay","net.minecraft.world.entity.animal.allay.Allay",0
"Minecraft","minecraft:area_effect_cloud","net.minecraft.world.entity.AreaEffectCloud",1
"Minecraft","minecraft:armor_stand","net.minecraft.world.entity.decoration.ArmorStand",2
"Minecraft","minecraft:arrow","net.minecraft.world.entity.projectile.Arrow",3
"Minecraft","minecraft:axolotl","net.minecraft.world.entity.animal.axolotl.Axolotl",4
"Minecraft","minecraft:bat","net.minecraft.world.entity.ambient.Bat",5
"Minecraft","minecraft:bee","net.minecraft.world.entity.animal.Bee",6
"Minecraft","minecraft:blaze","net.minecraft.world.entity.monster.Blaze",7
"Minecraft","minecraft:block_display","net.minecraft.world.entity.Display$BlockDisplay",8
"Minecraft","minecraft:boat","net.minecraft.world.entity.vehicle.Boat",9
"Minecraft","minecraft:camel","net.minecraft.world.entity.animal.camel.Camel",10
"Minecraft","minecraft:cat","net.minecraft.world.entity.animal.Cat",11
"Minecraft","minecraft:cave_spider","net.minecraft.world.entity.monster.CaveSpider",12
"Minecraft","minecraft:chest_boat","net.minecraft.world.entity.vehicle.ChestBoat",13
"Minecraft","minecraft:chest_minecart","net.minecraft.world.entity.vehicle.MinecartChest",14
"Minecraft","minecraft:chicken","net.minecraft.world.entity.animal.Chicken",15
"Minecraft","minecraft:cod","net.minecraft.world.entity.animal.Cod",16
"Minecraft","minecraft:command_block_minecart","net.minecraft.world.entity.vehicle.MinecartCommandBlock",17
"Minecraft","minecraft:cow","net.minecraft.world.entity.animal.Cow",18
"Minecraft","minecraft:creeper","net.minecraft.world.entity.monster.Creeper",19
"Minecraft","minecraft:dolphin","net.minecraft.world.entity.animal.Dolphin",20
"Minecraft","minecraft:donkey","net.minecraft.world.entity.animal.horse.Donkey",21
"Minecraft","minecraft:dragon_fireball","net.minecraft.world.entity.projectile.DragonFireball",22
"Minecraft","minecraft:drowned","net.minecraft.world.entity.monster.Drowned",23
"Minecraft","minecraft:egg","net.minecraft.world.entity.projectile.ThrownEgg",24
"Minecraft","minecraft:elder_guardian","net.minecraft.world.entity.monster.ElderGuardian",25
"Minecraft","minecraft:end_crystal","net.minecraft.world.entity.boss.enderdragon.EndCrystal",26
"Minecraft","minecraft:ender_dragon","net.minecraft.world.entity.boss.enderdragon.EnderDragon",27
"Minecraft","minecraft:ender_pearl","net.minecraft.world.entity.projectile.ThrownEnderpearl",28
"Minecraft","minecraft:enderman","net.minecraft.world.entity.monster.EnderMan",29
"Minecraft","minecraft:endermite","net.minecraft.world.entity.monster.Endermite",30
"Minecraft","minecraft:evoker","net.minecraft.world.entity.monster.Evoker",31
"Minecraft","minecraft:evoker_fangs","net.minecraft.world.entity.projectile.EvokerFangs",32
"Minecraft","minecraft:experience_bottle","net.minecraft.world.entity.projectile.ThrownExperienceBottle",33
"Minecraft","minecraft:experience_orb","net.minecraft.world.entity.ExperienceOrb",34
"Minecraft","minecraft:eye_of_ender","net.minecraft.world.entity.projectile.EyeOfEnder",35
"Minecraft","minecraft:falling_block","net.minecraft.world.entity.item.FallingBlockEntity",36
"Minecraft","minecraft:fireball","net.minecraft.world.entity.projectile.LargeFireball",57
"Minecraft","minecraft:firework_rocket","net.minecraft.world.entity.projectile.FireworkRocketEntity",37
"Minecraft","minecraft:fishing_bobber","net.minecraft.world.entity.projectile.FishingHook",123
"Minecraft","minecraft:fox","net.minecraft.world.entity.animal.Fox",38
"Minecraft","minecraft:frog","net.minecraft.world.entity.animal.frog.Frog",39
"Minecraft","minecraft:furnace_minecart","net.minecraft.world.entity.vehicle.MinecartFurnace",40
"Minecraft","minecraft:ghast","net.minecraft.world.entity.monster.Ghast",41
"Minecraft","minecraft:giant","net.minecraft.world.entity.monster.Giant",42
"Minecraft","minecraft:glow_item_frame","net.minecraft.world.entity.decoration.GlowItemFrame",43
"Minecraft","minecraft:glow_squid","net.minecraft.world.entity.GlowSquid",44
